feature,mean_abs_shap,Description,Type,Role
GenHlth,0.613876026391818,Would you say that in general your health is: scale 1-5 1 = excellent 2 = very good 3 = good 4 = fair 5 = poor,Integer,Feature
HighBP,0.4823678399791023,0 = no high BP 1 = high BP,Binary,Feature
BMI,0.4301606521174029,Body Mass Index,Integer,Feature
Age,0.3696722272157293,13-level age category (_AGEG5YR see codebook) 1 = 18-24 9 = 60-64 13 = 80 or older,Integer,Feature
HighChol,0.2596683008095301,0 = no high cholesterol 1 = high cholesterol,Binary,Feature
Income,0.0876194744159974,"Income scale (INCOME2 see codebook) scale 1-8 1 = less than $10,000 5 = less than $35,000 8 = $75,000 or more",Integer,Feature
DiffWalk,0.0759362045426113,Do you have serious difficulty walking or climbing stairs? 0 = no 1 = yes,Binary,Feature
HeartDiseaseorAttack,0.0525311594528596,coronary heart disease (CHD) or myocardial infarction (MI) 0 = no 1 = yes,Binary,Feature
Sex,0.0376496669164393,0 = female 1 = male,Binary,Feature
HvyAlcoholConsump,0.0132415368643439,Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) 0 = no 1 = yes,Binary,Feature
CholCheck,0.0053833619718336,0 = no cholesterol check in 5 years 1 = yes cholesterol check in 5 years,Binary,Feature
PhysHlth,0.0011462301374565,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good? scale 1-30 days",Integer,Feature
Stroke,0.0010994167350827,(Ever told) you had a stroke. 0 = no 1 = yes,Binary,Feature
Education,0.0005295195707943,Education level (EDUCA see codebook) scale 1-6 1 = Never attended school or only kindergarten 2 = Grades 1 through 8 (Elementary) 3 = Grades 9 through 11 (Some high school) 4 = Grade 12 or GED (High school graduate) 5 = College 1 year to 3 years (Some college or technical school) 6 = College 4 years or more (College graduate),Integer,Feature
MentHlth,0.0002823788476602,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good? scale 1-30 days",Integer,Feature
PhysActivity,8.543771118086024e-05,physical activity in past 30 days - not including job 0 = no 1 = yes,Binary,Feature
Fruits,0.0,Consume Fruit 1 or more times per day 0 = no 1 = yes,Binary,Feature
Veggies,0.0,Consume Vegetables 1 or more times per day 0 = no 1 = yes,Binary,Feature
AnyHealthcare,0.0,"Have any kind of health care coverage, including health insurance, prepaid plans such as HMO, etc. 0 = no 1 = yes",Binary,Feature
NoDocbcCost,0.0,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost? 0 = no 1 = yes,Binary,Feature
Smoker,0.0,Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes] 0 = no 1 = yes,Binary,Feature
